ODInvertebres;v1.0.2;2026-03-13;Temps d'execution :;3.78mins
CODE_STATION;DATE;CODE_OPERATION;MATIERES_ORGANIQUES;MATIERES_PHOSPHOREES;MATIERES_AZOTEES;NITRATES;HAP;PESTICIDES;RIPISYLVE;VOIES_COMMUNICATION;URBANISATION_100M;RISQUE_COLMATAGE;INSTABILITE_HYDROLOGIQUE;ANTHROPISATION_BV
03212150;19/07/2011;032121502011071913;0.0672;0.0742;0.0296;0.8272;0.7825;0.5709;0.5708;0.1159;0.6608;0.7112;0.6053;0.8706
03212150;10/09/2012;032121502012091013;0.2032;0.1343;0.0675;0.9661;0.8514;0.5706;0.6663;0.0955;0.6977;0.9398;0.669;0.9679
03212150;05/07/2013;032121502013070513;0.0744;0.1032;0.0465;0.9484;0.8391;0.6235;0.7395;0.079;0.811;0.8787;0.5623;0.9425
03212150;07/07/2014;032121502014070713;0.0704;0.136;0.0543;0.9093;0.8209;0.5764;0.6672;0.1192;0.6977;0.8459;0.6491;0.9447
03212150;27/07/2015;032121502015072713;0.1385;0.1315;0.066;0.9386;0.8134;0.5005;0.6332;0.1154;0.7319;0.8797;0.6327;0.9581
03212150;17/08/2016;032121502016081713;0.3116;0.2294;0.126;0.8786;0.8413;0.5153;0.6786;0.1845;0.7141;0.8351;0.6181;0.9371
03212150;26/07/2017;032121502017072613;0.1095;0.1721;0.1173;0.8908;0.8665;0.7153;0.6446;0.1544;0.712;0.7968;0.7007;0.9227
03212150;25/07/2019;032121502019072513;0.0773;0.1002;0.0327;0.9437;0.7718;0.6883;0.7242;0.096;0.7589;0.8551;0.5865;0.9312
03212150;18/05/2022;032121502022051813;0.2035;0.1136;0.1105;0.8052;0.6732;0.4346;0.595;0.1536;0.6132;0.7608;0.5344;0.7643
03212362;05/08/2021;032123622021080513;0.5261;0.513;0.5211;0.6307;0.5795;0.4473;0.5406;0.4632;0.6814;0.6206;0.6257;0.4947
03212600;03/07/2014;032126002014070313;0.0876;0.041;0.0141;0.8502;0.6921;0.4552;0.61;0.0459;0.549;0.7478;0.3563;0.854
03212600;29/07/2015;032126002015072913;0.1234;0.0558;0.0357;0.8055;0.6902;0.5289;0.5797;0.113;0.6124;0.7904;0.4762;0.8602
03213000;04/08/2010;032130002010080413;0.0681;0.0583;0.0102;0.8912;0.7544;0.5935;0.5575;0.0764;0.5664;0.7679;0.4987;0.8887
03213000;30/06/2011;032130002011063013;0.0252;0.0183;0.0045;0.9563;0.8355;0.6282;0.6397;0.0222;0.5428;0.8631;0.3232;0.9777
03213000;11/09/2012;032130002012091113;0.0326;0.0193;0.0041;0.7889;0.7853;0.5803;0.5744;0.0502;0.4639;0.7095;0.4117;0.9656
03213000;04/07/2013;032130002013070413;0.0556;0.0177;0.0066;0.9012;0.7612;0.6083;0.5995;0.0282;0.5302;0.7831;0.3386;0.9704
03213000;16/09/2014;032130002014091613;0.0729;0.033;0.0182;0.8217;0.7023;0.5254;0.5527;0.0845;0.5011;0.7028;0.3772;0.8758
03213000;29/07/2015;032130002015072913;0.0562;0.0197;0.0112;0.8648;0.7692;0.5497;0.5736;0.0524;0.5216;0.7713;0.3833;0.9104
03213000;19/08/2016;032130002016081913;0.0448;0.0165;0.0046;0.9369;0.8061;0.585;0.6363;0.0225;0.3837;0.7774;0.3251;0.9497
03213000;24/07/2017;032130002017072413;0.0695;0.027;0.0115;0.8811;0.694;0.4599;0.4789;0.0593;0.4411;0.7509;0.4163;0.925
03213000;18/07/2019;032130002019071813;0.0595;0.0247;0.0083;0.848;0.7712;0.4906;0.6289;0.0436;0.4645;0.7808;0.4153;0.9169
03213000;30/06/2022;032130002022063013;0.0646;0.0432;0.0137;0.8694;0.7664;0.4286;0.7074;0.0864;0.6054;0.8617;0.464;0.8928
03213185;02/07/2014;032131852014070213;0.1884;0.0492;0.0182;0.7923;0.7214;0.432;0.6605;0.115;0.5412;0.7422;0.5952;0.8309
03213185;06/08/2015;032131852015080613;0.2423;0.0807;0.0405;0.8062;0.7736;0.4698;0.5344;0.1516;0.5951;0.8016;0.6356;0.8299
03213185;05/08/2021;032131852021080513;0.2368;0.1048;0.0932;0.7045;0.7162;0.4033;0.6236;0.2436;0.6427;0.6883;0.5729;0.6513
03213230;02/07/2014;032132302014070213;0.0496;0.0188;0.0122;0.7907;0.7556;0.3912;0.6351;0.0598;0.4875;0.6947;0.4979;0.9274
03213230;06/08/2015;032132302015080613;0.0739;0.1226;0.0787;0.5974;0.7228;0.8421;0.6537;0.5063;0.6999;0.5554;0.5675;0.8957
03213230;05/08/2021;032132302021080513;0.0713;0.0578;0.0467;0.9069;0.7983;0.4975;0.7003;0.1124;0.7346;0.8872;0.6043;0.9698
03213291;05/08/2021;032132912021080513;0.2467;0.2613;0.1294;0.6928;0.6781;0.5633;0.5438;0.3558;0.6543;0.691;0.6442;0.8621
03213480;03/08/2010;032134802010080313;0.0461;0.0502;0.0118;0.8325;0.7098;0.4852;0.6185;0.029;0.5123;0.7506;0.519;0.7543
03213480;30/06/2011;032134802011063013;0.051;0.0416;0.0094;0.8573;0.751;0.6963;0.622;0.0462;0.5731;0.7902;0.4908;0.9047
03213480;12/09/2012;032134802012091213;0.046;0.0365;0.0145;0.765;0.6485;0.4346;0.5998;0.0507;0.3962;0.6423;0.4906;0.7718
03213480;10/07/2013;032134802013071013;0.0588;0.0319;0.0059;0.9086;0.8246;0.425;0.6175;0.0451;0.5263;0.848;0.5204;0.8433
03213480;10/09/2014;032134802014091013;0.085;0.0242;0.0085;0.8836;0.6805;0.4727;0.5737;0.0191;0.3757;0.7216;0.4537;0.7597
03213480;05/08/2015;032134802015080513;0.0707;0.0312;0.0076;0.8777;0.7426;0.4755;0.6109;0.0365;0.5254;0.737;0.5097;0.8385
03213480;19/08/2016;032134802016081913;0.0669;0.0439;0.0067;0.9451;0.7981;0.3932;0.6042;0.0194;0.4556;0.8215;0.3995;0.8302
03213480;24/07/2017;032134802017072413;0.1391;0.0323;0.018;0.7895;0.5582;0.4075;0.5895;0.0494;0.2844;0.6205;0.5042;0.7542
03213480;19/07/2019;032134802019071913;0.1343;0.0561;0.0277;0.7526;0.4854;0.4077;0.5931;0.0434;0.2465;0.5529;0.4058;0.7248
03213480;30/06/2022;032134802022063013;0.0718;0.0356;0.0235;0.9295;0.7065;0.4748;0.6042;0.0273;0.501;0.8113;0.4335;0.9012
03213505;03/07/2014;032135052014070313;0.3514;0.1293;0.0663;0.5273;0.6986;0.6218;0.5088;0.1732;0.4533;0.5495;0.5987;0.8048
03213505;05/08/2015;032135052015080513;0.1833;0.0895;0.0819;0.5799;0.7071;0.6507;0.5692;0.2908;0.6189;0.5237;0.5775;0.7987
03213505;22/07/2021;032135052021072213;0.0804;0.0482;0.0236;0.8763;0.7911;0.683;0.667;0.0777;0.5813;0.8048;0.7028;0.9648
03213830;09/09/2014;032138302014090913;0.0757;0.0748;0.0227;0.822;0.748;0.3915;0.5666;0.0739;0.502;0.7345;0.5418;0.7102
03213830;05/08/2015;032138302015080513;0.0804;0.0831;0.0351;0.8827;0.6846;0.6162;0.5569;0.1494;0.5411;0.8455;0.471;0.9094
03214000;16/09/2010;032140002010091613;0.08;0.0982;0.0258;0.9139;0.7275;0.6443;0.7129;0.1135;0.4036;0.6918;0.224;0.937
03214000;16/08/2011;032140002011081613;0.0359;0.0898;0.0146;0.9785;0.7609;0.8993;0.735;0.0995;0.5537;0.7933;0.2129;0.9928
03214000;11/09/2012;032140002012091113;0.0487;0.0561;0.0333;0.9586;0.7776;0.6477;0.7087;0.1399;0.5901;0.8031;0.2303;0.9572
03214000;02/10/2013;032140002013100213;0.1262;0.1279;0.1324;0.9104;0.6682;0.7335;0.6896;0.173;0.4838;0.7778;0.4276;0.9118
03214000;30/09/2014;032140002014093013;0.0448;0.099;0.0534;0.9411;0.7693;0.7028;0.7027;0.1328;0.5922;0.8117;0.4067;0.9641
03214000;01/09/2015;032140002015090113;0.0723;0.0918;0.0674;0.8828;0.6433;0.8091;0.6303;0.1656;0.561;0.7491;0.4611;0.935
03214000;22/09/2016;032140002016092213;0.0461;0.1368;0.0366;0.9561;0.6751;0.7889;0.6511;0.1077;0.5224;0.8417;0.3985;0.9696
03214000;20/09/2017;032140002017092013;0.0819;0.1866;0.0408;0.9659;0.5877;0.8222;0.6064;0.1455;0.4828;0.8131;0.3826;0.9624
03214000;03/10/2019;032140002019100313;0.1678;0.153;0.0308;0.9162;0.5289;0.7863;0.6047;0.1794;0.4824;0.7133;0.4166;0.9503
03214000;11/09/2024;032140002024091113;0.1508;0.2133;0.1065;0.9329;0.5834;0.7401;0.63;0.1478;0.5337;0.7885;0.549;0.8843
03214130;17/07/2018;032141302018071713;0.3673;0.228;0.1293;0.8645;0.7464;0.5308;0.4848;0.2017;0.6158;0.7767;0.7008;0.8755
03214240;05/08/2010;032142402010080513;0.2674;0.325;0.3854;0.6815;0.7803;0.6026;0.6824;0.291;0.7481;0.6452;0.6165;0.9111
03214240;17/06/2011;032142402011061713;0.2215;0.27;0.2739;0.8817;0.8553;0.6959;0.7388;0.1614;0.7682;0.9147;0.5456;0.9538
03214240;11/09/2012;032142402012091113;0.4291;0.5104;0.3693;0.9205;0.8245;0.7173;0.6427;0.1879;0.8308;0.9124;0.5426;0.9247
03214240;03/07/2013;032142402013070313;0.3688;0.5196;0.4761;0.9182;0.8472;0.5259;0.7453;0.171;0.8593;0.9347;0.5606;0.9829
03214240;08/07/2014;032142402014070813;0.2253;0.3694;0.3124;0.8173;0.796;0.5328;0.681;0.198;0.7585;0.845;0.5879;0.9264
03214240;29/07/2015;032142402015072913;0.1188;0.1754;0.1146;0.867;0.7366;0.5468;0.6254;0.2166;0.7325;0.7734;0.589;0.8764
03214240;16/06/2016;032142402016061613;0.0617;0.0588;0.0348;0.8896;0.7745;0.4871;0.7366;0.1303;0.7108;0.8105;0.4317;0.9218
03214240;25/07/2017;032142402017072513;0.0821;0.085;0.0255;0.9415;0.7549;0.4915;0.6925;0.1011;0.7098;0.8624;0.5219;0.9049
03214240;17/07/2018;032142402018071713;0.0633;0.0748;0.0348;0.911;0.7895;0.6125;0.6309;0.1216;0.7185;0.8565;0.5631;0.9717
03214240;25/07/2019;032142402019072513;0.0969;0.0977;0.0685;0.8859;0.6886;0.5179;0.6062;0.1628;0.6601;0.734;0.5056;0.9029
03214240;01/09/2020;032142402020090113;0.1304;0.096;0.056;0.7792;0.7232;0.651;0.6025;0.2064;0.6433;0.6298;0.4888;0.8599
03214240;21/07/2021;032142402021072113;0.0586;0.0445;0.051;0.9126;0.7913;0.4479;0.6449;0.0562;0.691;0.8379;0.4859;0.9164
03214240;18/05/2022;032142402022051813;0.041;0.0518;0.0196;0.7576;0.7929;0.6053;0.6484;0.117;0.6499;0.7885;0.5458;0.9314
03214240;18/05/2023;032142402023051813;0.0327;0.0309;0.0155;0.978;0.8578;0.5153;0.7309;0.0483;0.7042;0.9465;0.5439;0.9675
03214240;24/07/2024;032142402024072413;0.0615;0.0748;0.027;0.9624;0.8692;0.6695;0.7681;0.0517;0.8619;0.945;0.513;0.9433
03215000;17/06/2010;032150002010061713;0.1164;0.1376;0.034;0.683;0.5839;0.4165;0.5897;0.2016;0.6026;0.6405;0.5372;0.6107
03215000;30/06/2011;032150002011063013;0.1302;0.1487;0.0705;0.7188;0.6302;0.6248;0.5956;0.3321;0.6552;0.7122;0.563;0.8459
03215000;12/09/2012;032150002012091213;0.1629;0.1204;0.0606;0.9298;0.7777;0.5447;0.6619;0.1044;0.7125;0.8705;0.4712;0.9271
03215000;03/07/2013;032150002013070313;0.1045;0.104;0.0545;0.908;0.8783;0.4888;0.7505;0.076;0.8493;0.9281;0.5869;0.9474
03215000;10/07/2014;032150002014071013;0.125;0.1367;0.0738;0.8643;0.8483;0.6548;0.7358;0.1602;0.7756;0.8581;0.502;0.8661
03215000;30/07/2015;032150002015073013;0.0962;0.1124;0.0509;0.6708;0.6414;0.4951;0.6592;0.2726;0.6831;0.6482;0.471;0.721
03215000;16/06/2016;032150002016061613;0.0791;0.0517;0.0424;0.8806;0.7902;0.4596;0.7429;0.1023;0.717;0.8747;0.4759;0.924
03215000;25/07/2017;032150002017072513;0.1281;0.1087;0.0856;0.7922;0.7067;0.5646;0.6937;0.1364;0.697;0.7949;0.4287;0.8952
03215000;20/07/2018;032150002018072013;0.0545;0.0814;0.0418;0.7319;0.6369;0.4802;0.65;0.159;0.534;0.6741;0.4498;0.8145
03215000;23/07/2019;032150002019072313;0.0535;0.1211;0.0576;0.8425;0.7096;0.5124;0.6917;0.1681;0.5893;0.7474;0.4399;0.8529
03215000;26/05/2022;032150002022052613;0.0551;0.0688;0.0294;0.7817;0.7;0.4664;0.7096;0.1151;0.5764;0.7668;0.4957;0.8659
03215172;05/07/2018;032151722018070513;0.0685;0.0311;0.0154;0.8804;0.7063;0.466;0.5331;0.0831;0.5439;0.7508;0.5147;0.9042
03215193;04/06/2010;032151932010060413;0.1826;0.0689;0.0404;0.9596;0.8257;0.4597;0.6537;0.0671;0.5771;0.8928;0.6142;0.882
03215193;18/07/2011;032151932011071813;0.085;0.1168;0.0485;0.9098;0.793;0.5036;0.6615;0.1318;0.7196;0.7898;0.6313;0.8694
03215193;04/07/2013;032151932013070413;0.0368;0.0363;0.0125;0.9757;0.9045;0.5498;0.721;0.0462;0.7412;0.9031;0.6024;0.9691
03215193;17/06/2016;032151932016061713;0.0671;0.0604;0.0247;0.9272;0.837;0.5706;0.6445;0.0651;0.6622;0.8493;0.5458;0.9289
03215193;05/07/2018;032151932018070513;0.0924;0.1205;0.0323;0.8729;0.7998;0.3969;0.6441;0.0991;0.588;0.8258;0.6372;0.8913
03215193;24/07/2019;032151932019072413;0.3055;0.155;0.0669;0.8124;0.6172;0.4228;0.5411;0.1426;0.465;0.6962;0.6716;0.7702
03215193;19/05/2022;032151932022051913;0.0688;0.0344;0.026;0.936;0.8155;0.4387;0.6338;0.0552;0.5472;0.9092;0.5335;0.9328
03215320;21/07/2021;032153202021072113;0.3327;0.2218;0.2021;0.8491;0.7517;0.4555;0.5323;0.2104;0.6471;0.8433;0.6178;0.8235
03215380;12/07/2018;032153802018071213;0.0835;0.1724;0.0788;0.6809;0.6384;0.5883;0.5735;0.2628;0.6295;0.6364;0.5438;0.7857
03215470;17/06/2011;032154702011061713;0.2189;0.1583;0.1889;0.8638;0.7488;0.4836;0.6359;0.2029;0.6814;0.8287;0.5735;0.8523
03215470;24/07/2012;032154702012072413;0.214;0.1914;0.1074;0.326;0.4828;0.6413;0.4725;0.5535;0.5513;0.3403;0.5167;0.4037
03215470;19/07/2018;032154702018071913;0.1011;0.1532;0.1187;0.7487;0.7563;0.4882;0.6831;0.2062;0.6671;0.7166;0.525;0.7009
03215470;21/07/2021;032154702021072113;0.1033;0.0992;0.0414;0.9678;0.8209;0.4879;0.7321;0.0656;0.7424;0.949;0.6262;0.9013
03216000;04/06/2010;032160002010060413;0.1682;0.1344;0.0845;0.7736;0.6949;0.4531;0.6588;0.2448;0.7085;0.7421;0.5531;0.7209
03216000;27/07/2011;032160002011072713;0.2265;0.1686;0.1214;0.8585;0.7056;0.4471;0.6255;0.2201;0.7004;0.8222;0.4751;0.8387
03216000;12/09/2012;032160002012091213;0.2176;0.1601;0.1301;0.8267;0.729;0.4654;0.6858;0.1818;0.7586;0.7633;0.5203;0.7265
03216000;03/07/2013;032160002013070313;0.0584;0.112;0.0282;0.8703;0.8802;0.4806;0.7316;0.1412;0.8417;0.8804;0.5854;0.8583
03216000;09/09/2014;032160002014090913;0.2584;0.2711;0.2153;0.7692;0.6504;0.3977;0.6374;0.2905;0.6473;0.6899;0.4796;0.5816
03216000;30/07/2015;032160002015073013;0.2216;0.3616;0.2662;0.6996;0.5849;0.4629;0.6072;0.3414;0.6396;0.6701;0.57;0.5604
03216000;17/06/2016;032160002016061713;0.1005;0.149;0.0608;0.8672;0.7635;0.493;0.6887;0.1017;0.6957;0.8682;0.581;0.8488
03216000;25/07/2017;032160002017072513;0.1942;0.132;0.0862;0.9508;0.6248;0.7227;0.5635;0.1921;0.6186;0.8563;0.6797;0.9381
03216000;12/07/2018;032160002018071213;0.0387;0.0415;0.0192;0.906;0.7275;0.479;0.702;0.0932;0.6494;0.8304;0.4367;0.8621
03216000;23/07/2019;032160002019072313;0.1156;0.1327;0.0826;0.8134;0.7542;0.4625;0.7354;0.1516;0.7668;0.8018;0.5072;0.682
03216000;27/05/2020;032160002020052713;0.1205;0.1384;0.0655;0.78;0.6641;0.4017;0.5885;0.1626;0.5826;0.7317;0.5668;0.7025
03216000;21/07/2021;032160002021072113;0.2408;0.2683;0.2056;0.6407;0.5602;0.4552;0.5701;0.4004;0.6797;0.5876;0.5406;0.5188
03216000;26/05/2022;032160002022052613;0.0578;0.0629;0.0515;0.9038;0.7466;0.498;0.7298;0.116;0.7083;0.8246;0.4907;0.8126
03216000;19/05/2023;032160002023051913;0.1294;0.1506;0.0906;0.7373;0.6362;0.4121;0.6464;0.193;0.5921;0.6396;0.4789;0.6113
03216000;24/07/2024;032160002024072413;0.1664;0.1893;0.1178;0.7405;0.6196;0.4193;0.6519;0.172;0.6466;0.6875;0.4661;0.6226
03216160;06/08/2012;032161602012080613;0.2568;0.591;0.6211;0.5824;0.8703;0.8075;0.4846;0.5514;0.6869;0.4644;0.6667;0.8945
03216160;09/09/2014;032161602014090913;0.4016;0.619;0.6265;0.6474;0.872;0.7761;0.5876;0.4859;0.6514;0.5763;0.6313;0.9004
03216160;23/07/2019;032161602019072313;0.4918;0.633;0.5908;0.7379;0.8567;0.7918;0.6161;0.4078;0.6861;0.6268;0.5889;0.8886
03216160;26/05/2022;032161602022052613;0.2489;0.6104;0.5412;0.7984;0.8605;0.7896;0.5718;0.4066;0.7513;0.6931;0.661;0.8886
03216250;17/06/2010;032162502010061713;0.1893;0.4527;0.4612;0.7398;0.81;0.6436;0.6134;0.4733;0.7698;0.6654;0.6169;0.8914
03216250;01/07/2011;032162502011070113;0.2703;0.5262;0.5022;0.7331;0.7923;0.6655;0.5972;0.4651;0.7685;0.663;0.5779;0.8607
03216250;07/08/2012;032162502012080713;0.1715;0.5041;0.423;0.7233;0.782;0.7006;0.5571;0.4554;0.7555;0.6172;0.6452;0.889
03216250;02/07/2013;032162502013070213;0.2652;0.5051;0.5103;0.5636;0.6927;0.627;0.5312;0.5499;0.7094;0.5286;0.5933;0.7398
03216250;08/07/2014;032162502014070813;0.2088;0.4257;0.5012;0.4548;0.6701;0.7096;0.4704;0.5432;0.7078;0.459;0.5272;0.7661
03216250;31/07/2015;032162502015073113;0.2567;0.3606;0.2892;0.654;0.6988;0.4849;0.5119;0.5;0.7525;0.5616;0.5641;0.7377
03216250;08/09/2016;032162502016090813;0.2301;0.4084;0.303;0.7137;0.6964;0.5734;0.5539;0.4799;0.7221;0.6204;0.5577;0.7888
03216250;20/09/2017;032162502017092013;0.3156;0.3235;0.2845;0.7475;0.6674;0.4657;0.5821;0.4798;0.745;0.6526;0.5554;0.7736
03216250;26/05/2022;032162502022052613;0.2409;0.4413;0.435;0.6366;0.7242;0.6231;0.543;0.4847;0.7205;0.5814;0.5883;0.7998
03216305;20/07/2021;032163052021072013;0.4259;0.4359;0.4607;0.7769;0.602;0.4902;0.5713;0.4106;0.746;0.6951;0.624;0.8256
03216310;17/06/2010;032163102010061713;0.2566;0.2469;0.1625;0.8204;0.7728;0.4907;0.6786;0.2415;0.7408;0.8217;0.6162;0.896
03216310;13/09/2012;032163102012091313;0.1189;0.2908;0.2432;0.8678;0.8053;0.6967;0.542;0.2655;0.7636;0.793;0.6362;0.9517
03216310;02/07/2013;032163102013070213;0.073;0.1814;0.1194;0.9143;0.825;0.6698;0.6447;0.1572;0.8394;0.8435;0.6925;0.9755
03216310;10/07/2014;032163102014071013;0.1285;0.1455;0.1066;0.9321;0.7809;0.4619;0.6587;0.1761;0.7481;0.8668;0.5849;0.9227
03216310;09/09/2015;032163102015090913;0.0744;0.1353;0.0678;0.7876;0.7423;0.6614;0.5478;0.2483;0.7835;0.6325;0.5564;0.9071
03216310;09/08/2016;032163102016080913;0.0854;0.1423;0.0974;0.7669;0.7369;0.5778;0.6087;0.278;0.7333;0.6496;0.5495;0.9096
03216310;20/09/2017;032163102017092013;0.34;0.2947;0.267;0.7965;0.614;0.4005;0.4686;0.3067;0.6398;0.7167;0.6146;0.7965
03216310;31/07/2019;032163102019073113;0.1184;0.0928;0.0769;0.8498;0.7398;0.5456;0.6301;0.214;0.7264;0.7876;0.618;0.9259
03216310;19/08/2022;032163102022081913;0.2467;0.3196;0.2741;0.8548;0.6786;0.4686;0.6112;0.3958;0.7537;0.7291;0.6008;0.8156
03217000;29/04/2010;032170002010042913;0.0961;0.1009;0.0596;0.9567;0.7741;0.485;0.6675;0.1746;0.7978;0.8766;0.5397;0.9035
03217000;22/07/2011;032170002011072213;0.1941;0.2444;0.0945;0.8929;0.7813;0.5529;0.6406;0.2625;0.7505;0.8266;0.5261;0.9094
03217000;12/09/2012;032170002012091213;0.2069;0.2673;0.183;0.7793;0.7374;0.6467;0.5786;0.3561;0.6744;0.7389;0.5192;0.919
03217000;03/07/2013;032170002013070313;0.0877;0.1243;0.058;0.9648;0.8034;0.5029;0.68;0.1235;0.7359;0.8952;0.515;0.9309
03217000;09/07/2014;032170002014070913;0.1154;0.1007;0.0605;0.9471;0.7729;0.5443;0.7022;0.1473;0.73;0.867;0.4901;0.8998
03217000;09/09/2015;032170002015090913;0.2017;0.2573;0.177;0.909;0.7776;0.4443;0.63;0.2402;0.7581;0.8361;0.6366;0.8472
03217000;09/08/2016;032170002016080913;0.136;0.1353;0.0452;0.9188;0.7471;0.4724;0.635;0.1698;0.7221;0.8469;0.5559;0.8895
03217000;20/09/2017;032170002017092013;0.3454;0.2483;0.1431;0.9423;0.7418;0.4879;0.6075;0.2664;0.6725;0.8935;0.5583;0.923
03217000;20/06/2018;032170002018062013;0.1477;0.222;0.0966;0.9702;0.8125;0.5462;0.621;0.1572;0.6496;0.9352;0.5451;0.922
03217000;23/07/2019;032170002019072313;0.2617;0.2502;0.1663;0.9057;0.6989;0.4413;0.6056;0.2584;0.7416;0.8209;0.6156;0.8114
03217000;01/09/2020;032170002020090113;0.2646;0.2442;0.1907;0.8054;0.6047;0.4617;0.5823;0.3574;0.6443;0.7042;0.4843;0.7562
03217000;20/07/2021;032170002021072013;0.2741;0.3568;0.2368;0.8485;0.7036;0.5708;0.6631;0.2997;0.7589;0.8078;0.5958;0.8266
03217000;19/08/2022;032170002022081913;0.2597;0.2853;0.1923;0.896;0.7689;0.4984;0.6168;0.3159;0.7688;0.8167;0.5789;0.8892
03217000;19/05/2023;032170002023051913;0.1975;0.2415;0.1657;0.921;0.7842;0.6257;0.6528;0.2152;0.7327;0.9011;0.5541;0.9072
03217000;25/07/2024;032170002024072513;0.1172;0.1336;0.0877;0.9098;0.698;0.5601;0.6887;0.1313;0.7136;0.8144;0.4417;0.8571
03217400;29/04/2010;032174002010042913;0.1577;0.0701;0.0813;0.9294;0.799;0.4797;0.4722;0.0727;0.6579;0.8886;0.6211;0.8579
03217400;26/07/2011;032174002011072613;0.2544;0.1452;0.1169;0.9259;0.8491;0.5619;0.5949;0.0972;0.7332;0.9276;0.5291;0.9205
03217400;13/09/2012;032174002012091313;0.132;0.0647;0.0743;0.9112;0.7664;0.4925;0.7895;0.0954;0.7323;0.8693;0.469;0.9058
03217400;01/07/2013;032174002013070113;0.0494;0.027;0.018;0.9262;0.8446;0.4595;0.8341;0.0289;0.859;0.941;0.3537;0.9196
03217400;09/07/2014;032174002014070913;0.1683;0.1381;0.065;0.8799;0.8533;0.5139;0.7245;0.1047;0.7571;0.8792;0.5829;0.9342
03217400;09/09/2015;032174002015090913;0.1014;0.0484;0.0615;0.9126;0.8209;0.4246;0.703;0.1334;0.708;0.9005;0.5974;0.8723
03217400;08/08/2016;032174002016080813;0.0741;0.0336;0.0182;0.9584;0.8385;0.4741;0.6344;0.0601;0.7318;0.9457;0.552;0.9336
03217400;20/09/2017;032174002017092013;0.0793;0.031;0.0111;0.9502;0.8497;0.4939;0.5974;0.0418;0.6125;0.9219;0.5378;0.8972
03217400;20/06/2018;032174002018062013;0.0946;0.0623;0.0243;0.7394;0.8308;0.5155;0.5768;0.1001;0.6233;0.7426;0.6636;0.8446
03217400;24/07/2019;032174002019072413;0.0986;0.0601;0.0366;0.9154;0.809;0.5769;0.626;0.1077;0.6991;0.8872;0.6592;0.9652
03217400;26/05/2020;032174002020052613;0.0863;0.033;0.0249;0.8873;0.8537;0.4586;0.7083;0.0581;0.7555;0.8321;0.5159;0.8413
03217400;20/07/2021;032174002021072013;0.1338;0.108;0.0688;0.8852;0.8244;0.4933;0.6913;0.1397;0.7735;0.8744;0.5814;0.8318
03217400;26/08/2022;032174002022082613;0.1546;0.1309;0.0742;0.9051;0.7715;0.6657;0.6055;0.1428;0.7193;0.8065;0.5769;0.9244
03217400;19/05/2023;032174002023051913;0.0923;0.0611;0.044;0.9204;0.8679;0.4583;0.6774;0.0802;0.7276;0.901;0.5542;0.849
03217400;25/07/2024;032174002024072513;0.0706;0.0658;0.0593;0.8223;0.7559;0.495;0.683;0.0958;0.6986;0.781;0.5177;0.8113
03218070;23/09/2011;032180702011092313;0.0317;0.0288;0.0203;0.9467;0.8702;0.4132;0.8029;0.0327;0.6618;0.8971;0.455;0.8708
03218070;24/07/2012;032180702012072413;0.2452;0.1787;0.101;0.814;0.7098;0.4839;0.6829;0.1279;0.542;0.7129;0.6298;0.7557
03218070;20/07/2021;032180702021072013;0.0522;0.0431;0.0157;0.9467;0.8821;0.4983;0.7304;0.0395;0.7014;0.9724;0.5618;0.9369
03218150;13/09/2012;032181502012091313;0.2273;0.2103;0.2443;0.8771;0.7369;0.6136;0.6547;0.2256;0.7718;0.8211;0.5521;0.88
03218150;09/07/2014;032181502014070913;0.053;0.0642;0.0349;0.9742;0.8648;0.6815;0.796;0.0748;0.8267;0.9692;0.5586;0.972
03218150;08/08/2016;032181502016080813;0.162;0.1012;0.0529;0.9832;0.8516;0.6725;0.7726;0.0997;0.7915;0.976;0.5978;0.9671
03218150;24/07/2019;032181502019072413;0.0368;0.0787;0.0169;0.9509;0.7873;0.6353;0.7203;0.0846;0.7327;0.9419;0.5032;0.9491
03218150;25/05/2022;032181502022052513;0.0831;0.0741;0.0489;0.8673;0.7566;0.6445;0.6697;0.1614;0.7142;0.7951;0.3538;0.9235
03218221;04/09/2014;032182212014090413;0.0789;0.1931;0.1044;0.9282;0.843;0.674;0.6995;0.1102;0.8037;0.8777;0.6244;0.9655
03218759;04/09/2014;032187592014090413;0.2875;0.3589;0.3671;0.748;0.7355;0.4921;0.6645;0.2722;0.7224;0.7522;0.6413;0.7351
03219000;01/07/2010;032190002010070113;0.4565;0.552;0.4916;0.818;0.812;0.8065;0.6209;0.2996;0.7185;0.6686;0.4703;0.9314
03219000;16/08/2011;032190002011081613;0.5282;0.5774;0.5068;0.8328;0.7281;0.8946;0.7608;0.2898;0.651;0.632;0.3604;0.9526
03219000;19/09/2012;032190002012091913;0.6047;0.5916;0.5151;0.6934;0.6249;0.9004;0.745;0.3124;0.6001;0.5952;0.4429;0.9405
03219000;30/09/2013;032190002013093013;0.5296;0.5981;0.5196;0.8033;0.6759;0.8336;0.6129;0.3991;0.6939;0.6745;0.404;0.9164
03219000;01/10/2014;032190002014100113;0.5883;0.6193;0.5579;0.7115;0.6343;0.8931;0.6939;0.358;0.7295;0.5743;0.4386;0.946
03219000;10/09/2015;032190002015091013;0.5759;0.6599;0.5838;0.7516;0.7345;0.8853;0.7274;0.4231;0.7804;0.6149;0.4936;0.9474
